nodes,l,seed,a_node,int_samples,page_rank_tests,page_rank_time,page_rank_accuracy,page_rank_top_l_targets,baro_tests,baro_time,baro_accuracy,baro_top_l_targets,smooth_tests,smooth_time,smooth_accuracy,smooth_top_l_targets,mutual_info_tests,mutual_info_time,mutual_info_accuracy,mutual_info_top_l_targets,rcd_tests,rcd_time,rcd_accuracy,rcd_top_l_targets,m_igs_tests,m_igs_time,m_igs_accuracy,m_igs_top_l_targets,rcg_cpdag_tests,rcg_cpdag_time,rcg_cpdag_accuracy,rcg_cpdag_top_l_targets,rcg_dag_tests,rcg_dag_time,rcg_dag_accuracy,rcg_dag_top_l_targets
25,1,0,X12,10,25,4.924106597900391,0,['X19'],24,19.0120849609375,1,['X12'],25,84.8063268661499,0,['X21'],25,140.0968141555786,0,['X21'],250,177.03098487854004,0,['X14'],8,2.821352005004883,0,['dummy_sink'],25,1404.5047464370728,0,['X21'],25,1187.8780946731567,0,['X21']
25,1,1,X5,10,25,4.976038932800293,0,['X23'],24,24.390626907348633,0,['X23'],25,129.61183166503906,0,['X4'],25,213.2976894378662,0,['X4'],354,210.02635765075684,0,['X4'],6,1.9132919311523438,0,['dummy_sink'],25,1022.2557601928711,0,['X4'],25,969.4103260040283,0,['X4']
25,1,2,X8,10,25,4.077322006225586,0,['X23'],24,23.46290683746338,0,['X10'],25,127.3078088760376,1,['X8'],25,202.9150514602661,1,['X8'],422,217.39160537719727,1,['X8'],4,1.502593994140625,0,['dummy_sink'],25,1408.1572046279907,1,['X8'],25,1407.3323125839233,1,['X8']
25,1,3,X10,10,25,3.98378849029541,0,['X24'],24,23.03413677215576,0,['X13'],25,128.0762586593628,0,['X24'],25,240.28707122802734,0,['X3'],288,189.18230533599854,0,['X24'],7,2.0997886657714844,0,['dummy_sink'],25,1325.1572618484497,0,['X16'],25,1306.3764743804932,0,['X16']
25,1,4,X14,10,25,4.343988418579102,0,['X23'],24,23.291693687438965,0,['X2'],25,126.68378734588623,0,['X6'],25,201.29777908325195,0,['X6'],336,191.3047170639038,0,['X11'],5,1.7033119201660156,0,['dummy_sink'],25,1553.3148622512817,0,['X6'],25,1553.4962167739868,0,['X6']
25,1,5,X3,10,25,3.8582963943481445,0,['X23'],24,22.724417686462402,0,['X15'],25,132.31594276428223,1,['X3'],25,198.5645046234131,1,['X3'],385,125.51748371124268,1,['X3'],7,1.351217269897461,0,['dummy_sink'],25,1401.697738647461,1,['X3'],25,905.7297840118408,0,['X11']
25,1,6,X10,10,25,4.121760368347168,0,['X23'],24,22.965450286865234,0,['X14'],25,127.29773044586182,1,['X10'],25,205.98222160339355,0,['X3'],261,161.98714065551758,1,['X10'],7,2.1127424240112305,0,['dummy_sink'],25,1500.7030544281006,0,['X18'],25,1476.1698770523071,0,['X18']
25,1,7,X15,10,25,5.037360191345215,0,['X23'],24,18.963376998901367,0,['X2'],25,86.08224201202393,0,['X2'],25,137.465069770813,0,['X2'],326,163.62141227722168,0,['X2'],5,1.210688591003418,0,['dummy_sink'],25,990.9955196380615,0,['X8'],25,916.6525745391846,0,['X8']
25,1,8,X3,10,25,3.7465438842773438,0,['X23'],24,23.579941749572754,0,['X5'],25,127.42236328125,1,['X3'],25,223.92291736602783,0,['X15'],382,199.24952697753906,1,['X3'],8,2.5640344619750977,0,['dummy_sink'],25,1195.6958436965942,0,['X15'],25,1170.5521669387817,0,['X15']
25,1,9,X21,10,25,5.689053535461426,0,['X24'],24,23.71584415435791,0,['X12'],25,129.67053318023682,0,['X4'],25,206.6009635925293,0,['X4'],363,225.6530055999756,0,['X4'],4,1.6585569381713867,0,['dummy_sink'],25,1379.083254814148,0,['X5'],25,1037.1289691925049,0,['X19']
